Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,AL,35203,BIRMINGHAM,4.0000,State Tax,1,0,1,
US,AL,35203,BIRMINGHAM,3.0000,City Tax,2,0,1,
US,AL,35203,BIRMINGHAM,1.0000,County Tax,3,0,1,
US,AL,36601...36610,MOBILE,4.0000,State Tax,1,0,1,
US,AL,36601...36610,MOBILE,4.5000,City Tax,2,0,1,
US,CA,*,*,7.2500,CA State Tax,1,0,1,
US,CA,90210,BEVERLY HILLS,2.2500,LA County Tax,2,0,1,
US,CA,90001...90089,LOS ANGELES,0.7500,LA City Tax,3,0,1,
US,CA,94102...94188,SAN FRANCISCO,1.2500,SF District Tax,2,0,1,
US,CA,92101,SAN DIEGO,0.5000,SD Transit Tax,2,0,1,
US,NY,*,*,4.0000,NY State Tax,1,0,1,
US,NY,100*,NEW YORK,4.5000,NYC Tax,2,0,1,
US,NY,100*,NEW YORK,0.3750,MTA Surcharge,3,1,0,
US,NY,112*,BROOKLYN,4.5000,NYC Tax,2,0,1,
US,NY,130*,SYRACUSE,4.0000,Onondaga County Tax,2,0,1,
US,TX,*,*,6.2500,TX State Tax,1,0,1,
US,TX,752*,DALLAS,2.0000,City Tax,2,0,1,
US,TX,770*,HOUSTON,2.0000,City Tax,2,0,1,
US,TX,782*,AUSTIN,2.0000,City Tax,2,0,1,
US,FL,*,*,6.0000,FL State Tax,1,0,1,
US,FL,331*,MIAMI,1.0000,Miami-Dade Surtax,2,0,1,
US,FL,322*,JACKSONVILLE,0.5000,Duval County Surtax,2,0,1,
US,WA,*,*,6.5000,WA State Tax,1,0,1,
US,WA,981*,SEATTLE,3.6000,Seattle Local Tax,2,0,1,
US,WA,984*,TACOMA,2.8000,Tacoma Local Tax,2,0,1,
US,IL,*,*,6.2500,IL State Tax,1,0,1,
US,IL,606*,CHICAGO,4.7500,Chicago Combined Tax,2,0,1,
US,PA,*,*,6.0000,PA State Tax,1,0,1,
US,PA,191*,PHILADELPHIA,2.0000,Philly Local Tax,2,0,1,
US,CO,*,*,2.9000,CO State Tax,1,0,1,
US,CO,802*,DENVER,4.8100,Denver Combined Tax,2,0,1,
US,GA,*,*,4.0000,GA State Tax,1,0,1,
US,GA,303*,ATLANTA,4.0000,Fulton County Tax,2,0,1,
US,NJ,*,*,6.6250,NJ Sales Tax,1,0,1,
US,AZ,*,*,5.6000,AZ State Tax,1,0,1,
US,AZ,850*,PHOENIX,2.3000,Phoenix TPT,2,0,1,
US,AZ,857*,TUCSON,2.6000,Tucson TPT,2,0,1,
US,OH,*,*,5.7500,OH State Tax,1,0,1,
US,OH,441*,CLEVELAND,2.2500,Cuyahoga County Tax,2,0,1,
US,TN,*,*,7.0000,TN State Tax,1,0,1,
US,TN,372*,NASHVILLE,2.2500,Davidson County Tax,2,0,1,
US,LA,*,*,4.4500,LA State Tax,1,0,1,
US,LA,701*,NEW ORLEANS,5.0000,Orleans Parish Tax,2,0,1,
US,HI,*,*,4.0000,HI GE Tax,1,0,1,
US,HI,968*,HONOLULU,0.5000,Honolulu Surcharge,2,1,1,
US,OR,*,*,0.0000,No Sales Tax,1,0,0,
US,OR,*,*,0.0000,No Sales Tax,1,0,0,zero-rate
US,MT,*,*,0.0000,No Sales Tax,1,0,0,
US,MT,*,*,0.0000,No Sales Tax,1,0,0,zero-rate
US,NH,*,*,0.0000,No Sales Tax,1,0,0,
US,NH,*,*,0.0000,No Sales Tax,1,0,0,zero-rate
US,DE,*,*,0.0000,No Sales Tax,1,0,0,
US,DE,*,*,0.0000,No Sales Tax,1,0,0,zero-rate
CA,BC,*,*,7.0000,PST,1,0,1,
CA,BC,*,*,5.0000,GST,2,0,1,
CA,ON,*,*,13.0000,HST,1,0,1,
CA,AB,*,*,5.0000,GST,1,0,1,
CA,QC,*,*,5.0000,GST,1,0,1,
CA,QC,*,*,9.9750,QST,2,1,1,
CA,SK,*,*,6.0000,PST,1,0,1,
CA,SK,*,*,5.0000,GST,2,0,1,
CA,MB,*,*,7.0000,RST,1,0,1,
CA,MB,*,*,5.0000,GST,2,0,1,
CA,NS,*,*,15.0000,HST,1,0,1,
CA,NB,*,*,15.0000,HST,1,0,1,
CA,PE,*,*,15.0000,HST,1,0,1,
CA,NL,*,*,15.0000,HST,1,0,1,
GB,*,*,*,20.0000,VAT,1,0,1,
GB,*,*,*,5.0000,Reduced VAT,1,0,1,reduced-rate
GB,*,*,*,0.0000,Zero VAT,1,0,1,zero-rate
FR,*,*,*,20.0000,TVA,1,0,1,
FR,*,*,*,5.5000,TVA Réduit,1,0,1,reduced-rate
FR,*,*,*,0.0000,TVA Zéro,1,0,1,zero-rate
DE,*,*,*,19.0000,MwSt,1,0,1,
DE,*,*,*,7.0000,Ermäßigte MwSt,1,0,1,reduced-rate
DE,*,*,*,0.0000,Keine MwSt,1,0,1,zero-rate
AU,NSW,*,*,10.0000,GST,1,0,1,
AU,VIC,*,*,10.0000,GST,1,0,1,
AU,QLD,*,*,10.0000,GST,1,0,1,
AU,*,*,*,0.0000,GST Free,1,0,1,zero-rate
JP,*,*,*,10.0000,Consumption Tax,1,0,1,
JP,*,*,*,8.0000,Reduced Rate,1,0,1,reduced-rate
IN,MH,*,*,9.0000,CGST,1,0,1,
IN,MH,*,*,9.0000,SGST,2,0,1,
IN,KA,*,*,9.0000,CGST,1,0,1,
IN,KA,*,*,9.0000,SGST,2,0,1,
IN,*,*,*,18.0000,IGST,1,0,1,
IN,*,*,*,0.0000,GST Exempt,1,0,1,zero-rate
MX,*,*,*,16.0000,IVA,1,0,1,
MX,*,*,*,0.0000,IVA Exento,1,0,1,zero-rate
BR,SP,*,*,18.0000,ICMS,1,0,1,
BR,RJ,*,*,20.0000,ICMS,1,0,1,
